Class,Accuracy,Precision,Recall,F1_Score,F1_Score_Weighted,Support
cutlet_curry,0.9148936170212766,0.9485294117647058,0.9148936170212766,0.9314079422382672,0.9271883032233612,141
dak_galbi,0.9714285714285714,0.9902912621359223,0.9714285714285714,0.9807692307692307,0.9271883032233612,105
deep_fried_chicken_wing,0.9646017699115044,0.9478260869565217,0.9646017699115044,0.956140350877193,0.9271883032233612,113
dipping_noodles,0.9603174603174603,0.983739837398374,0.9603174603174603,0.9718875502008032,0.9271883032233612,126
dish_consisting_of_stir_fried_potato_eggplant_and_green_pepper,0.9831932773109243,0.975,0.9831932773109243,0.9790794979079498,0.9271883032233612,119
doughnut,0.9821428571428571,1.0,0.9821428571428571,0.9909909909909909,0.9271883032233612,112
dried_fish,0.9727272727272728,1.0,0.9727272727272728,0.9861751152073733,0.9271883032233612,110
dry_curry,0.9900990099009901,0.9803921568627451,0.9900990099009901,0.9852216748768472,0.9271883032233612,101
eels_on_rice,0.9769230769230769,0.9694656488549618,0.9769230769230769,0.9731800766283524,0.9271883032233612,130
egg_noodle_in_chicken_yellow_curry,0.8,0.9263157894736842,0.8,0.8585365853658536,0.9271883032233612,110
egg_omelet,0.8778625954198473,0.8646616541353384,0.8778625954198473,0.8712121212121212,0.9271883032233612,131
egg_roll,0.9166666666666666,1.0,0.9166666666666666,0.9565217391304348,0.9271883032233612,108
egg_sunny_side_up,0.84375,0.8790697674418605,0.84375,0.8610478359908884,0.9271883032233612,224
eggplant_with_garlic_sauce,0.9911504424778761,0.9572649572649573,0.9911504424778761,0.9739130434782609,0.9271883032233612,113
eight_treasure_rice,1.0,0.9913793103448276,1.0,0.9956709956709957,0.9271883032233612,115
fine_white_noodles,0.9830508474576272,0.9830508474576272,0.9830508474576272,0.9830508474576272,0.9271883032233612,118
fish_ball_soup,0.9747899159663865,1.0,0.9747899159663865,0.9872340425531915,0.9271883032233612,119
fish_shaped_pancake_with_bean_jam,1.0,0.991869918699187,1.0,0.9959183673469388,0.9271883032233612,122
french_bread,0.9904761904761905,0.9904761904761905,0.9904761904761905,0.9904761904761905,0.9271883032233612,105
french_fries,0.6666666666666666,0.7846153846153846,0.6666666666666666,0.7208480565371024,0.9271883032233612,153
french_toast,0.9901960784313726,0.9805825242718447,0.9901960784313726,0.9853658536585367,0.9271883032233612,102
fried_chicken,0.7402597402597403,0.912,0.7402597402597403,0.8172043010752688,0.9271883032233612,154
fried_fish,0.7107438016528925,0.945054945054945,0.7107438016528925,0.8113207547169811,0.9271883032233612,121
fried_mussel_pancakes,0.9805825242718447,0.9619047619047619,0.9805825242718447,0.9711538461538461,0.9271883032233612,103
fried_noodle,0.9312977099236641,0.953125,0.9312977099236641,0.9420849420849421,0.9271883032233612,131
fried_pork_dumplings_served_in_soup,1.0,0.9830508474576272,1.0,0.9914529914529915,0.9271883032233612,116
fried_pork_in_scoop,0.9646017699115044,0.990909090909091,0.9646017699115044,0.9775784753363229,0.9271883032233612,113
fried_rice,0.8698224852071006,0.8909090909090909,0.8698224852071006,0.8802395209580838,0.9271883032233612,169
fried_shrimp,0.9304347826086956,0.963963963963964,0.9304347826086956,0.9469026548672567,0.9271883032233612,115
fried_spring_rolls,0.9519230769230769,0.99,0.9519230769230769,0.9705882352941176,0.9271883032233612,104
ganmodoki,0.9380530973451328,0.9724770642201835,0.9380530973451328,0.954954954954955,0.9271883032233612,113
ginger_pork_saute,0.8547008547008547,0.9523809523809523,0.8547008547008547,0.9009009009009009,0.9271883032233612,117
glutinous_oil_rice,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9271883032233612,114
glutinous_rice_balls,1.0,0.9906542056074766,1.0,0.9953051643192489,0.9271883032233612,106
goya_chanpuru,0.9615384615384616,0.9803921568627451,0.9615384615384616,0.970873786407767,0.9271883032233612,104
gratin,0.9391304347826087,0.9473684210526315,0.9391304347826087,0.9432314410480349,0.9271883032233612,115
green_curry,0.98,0.9423076923076923,0.98,0.9607843137254902,0.9271883032233612,100
green_salad,0.4064327485380117,0.6233183856502242,0.4064327485380117,0.49203539823008846,0.9271883032233612,342
grilled_eggplant,0.9801980198019802,0.9519230769230769,0.9801980198019802,0.9658536585365853,0.9271883032233612,101
grilled_pacific_saury,0.95,0.8382352941176471,0.95,0.890625,0.9271883032233612,180
grilled_salmon,0.9043478260869565,0.859504132231405,0.9043478260869565,0.8813559322033899,0.9271883032233612,115
gulai,0.9803921568627451,1.0,0.9803921568627451,0.99009900990099,0.9271883032233612,102
ham_cutlet,0.9210526315789473,0.9545454545454546,0.9210526315789473,0.9375,0.9271883032233612,114
hambarg_steak,0.837037037037037,0.875968992248062,0.837037037037037,0.856060606060606,0.9271883032233612,135
hamburger,0.9570815450643777,0.8643410852713178,0.9570815450643777,0.9083503054989817,0.9271883032233612,233
haupia,1.0,0.9809523809523809,1.0,0.9903846153846153,0.9271883032233612,103
hot_and_sour_fish_and_vegetable_ragout,0.990990990990991,0.9734513274336283,0.990990990990991,0.9821428571428571,0.9271883032233612,111
hot_dog,0.9607843137254902,0.9514563106796117,0.9607843137254902,0.9560975609756097,0.9271883032233612,102
hot_pot,1.0,0.9385964912280702,1.0,0.9683257918552036,0.9271883032233612,107
hot_sour_soup,0.9743589743589743,0.957983193277311,0.9743589743589743,0.9661016949152542,0.9271883032233612,117
hue_beef_rice_vermicelli_soup,0.9912280701754386,0.9826086956521739,0.9912280701754386,0.9868995633187774,0.9271883032233612,114
inarizushi,1.0,0.9823008849557522,1.0,0.9910714285714286,0.9271883032233612,111
jambalaya,0.9541284403669725,0.9719626168224299,0.9541284403669725,0.962962962962963,0.9271883032233612,109
japanese_style_pancake,0.9781021897810219,0.9852941176470589,0.9781021897810219,0.9816849816849818,0.9271883032233612,137
japanese_tofu_and_vegetable_chowder,0.7652173913043478,0.7652173913043478,0.7652173913043478,0.7652173913043478,0.9271883032233612,115
jiaozi,0.8263473053892215,0.8263473053892215,0.8263473053892215,0.8263473053892215,0.9271883032233612,167
jjigae,0.9906542056074766,1.0,0.9906542056074766,0.9953051643192489,0.9271883032233612,107
kamameshi,1.0,1.0,1.0,1.0,0.9271883032233612,101
kaya_toast,0.9912280701754386,1.0,0.9912280701754386,0.9955947136563876,0.9271883032233612,114
khao_soi,0.940677966101695,0.8283582089552238,0.940677966101695,0.8809523809523809,0.9271883032233612,118
kinpira_style_sauteed_burdock,0.8108108108108109,0.9574468085106383,0.8108108108108109,0.878048780487805,0.9271883032233612,111
kung_pao_chicken,0.9819819819819819,0.9646017699115044,0.9819819819819819,0.9732142857142857,0.9271883032233612,111
kushikatu,0.9803921568627451,0.9900990099009901,0.9803921568627451,0.9852216748768472,0.9271883032233612,102
laksa,0.9514563106796117,0.9423076923076923,0.9514563106796117,0.9468599033816425,0.9271883032233612,103
lamb_kebabs,1.0,0.9913793103448276,1.0,0.9956709956709957,0.9271883032233612,115
lasagna,0.954954954954955,0.9724770642201835,0.954954954954955,0.9636363636363636,0.9271883032233612,111
laulau,0.9905660377358491,0.9905660377358491,0.9905660377358491,0.9905660377358491,0.9271883032233612,106
lemon_fig_jelly,1.0,1.0,1.0,1.0,0.9271883032233612,109
lightly_roasted_fish,0.9509803921568627,1.0,0.9509803921568627,0.9748743718592965,0.9271883032233612,102
loco_moco,0.9642857142857143,0.9908256880733946,0.9642857142857143,0.9773755656108598,0.9271883032233612,112
lumpia,0.990909090909091,0.923728813559322,0.990909090909091,0.956140350877193,0.9271883032233612,110
macaroni_salad,0.9541284403669725,0.8888888888888888,0.9541284403669725,0.9203539823008849,0.9271883032233612,109
malasada,1.0,1.0,1.0,1.0,0.9271883032233612,114
mango_pudding,0.9611650485436893,1.0,0.9611650485436893,0.9801980198019802,0.9271883032233612,103
meat_loaf,0.9557522123893806,0.9908256880733946,0.9557522123893806,0.9729729729729731,0.9271883032233612,113
mie_ayam,0.9906542056074766,0.9906542056074766,0.9906542056074766,0.9906542056074766,0.9271883032233612,107
mie_goreng,0.9807692307692307,0.9107142857142857,0.9807692307692307,0.9444444444444444,0.9271883032233612,104
minced_meat_cutlet,0.9532710280373832,0.8947368421052632,0.9532710280373832,0.923076923076923,0.9271883032233612,107
minced_pork_rice,1.0,0.9910714285714286,1.0,0.9955156950672646,0.9271883032233612,111
minestrone,0.9903846153846154,0.9903846153846154,0.9903846153846154,0.9903846153846154,0.9271883032233612,104
miso_soup,0.5977961432506887,0.5235223160434258,0.5977961432506887,0.5581993569131833,0.9271883032233612,726
mixed_rice,0.7536231884057971,0.8739495798319328,0.7536231884057971,0.8093385214007781,0.9271883032233612,138
